ASMID,SPECIES_IN,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,TRANSL_TABLE,LOCUSTAG
GCA_049307545.1_ASM4930754v1,Candidozyma auris,SCPM-O-F-2041 B48-20,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F935C17D
GCA_046331985.1_ASM4633198v1,Candidozyma auris,SCPM-O-F-2056 KA1,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FD3A9C97
GCA_046331915.1_ASM4633191v1,Candidozyma auris,SCPM-O-F-2057 KA2,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F36E75BC
GCA_046331895.1_ASM4633189v1,Candidozyma auris,SCPM-O-F-2058 KA3,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F16FB0DB
GCA_046331885.1_ASM4633188v1,Candidozyma auris,SCPM-O-F-2059 KA4,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F85E1676
GCA_046331905.1_ASM4633190v1,Candidozyma auris,SCPM-O-F-2060 KA5,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FD0C5E6C
GCA_046331925.1_ASM4633192v1,Candidozyma auris,SCPM-O-F-2061 KA6,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F137AE2F
GCA_046331795.1_ASM4633179v1,Candidozyma auris,SCPM-O-F-2062 KA7,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F228D396
GCA_046331805.1_ASM4633180v1,Candidozyma auris,SCPM-O-F-2063 KA8,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FD5F77E2
GCA_046331825.1_ASM4633182v1,Candidozyma auris,SCPM-O-F-2064 KA9,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F46B2832
GCA_046331785.1_ASM4633178v1,Candidozyma auris,SCPM-O-F-2065 KA10,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F3FBE794
GCA_046331815.1_ASM4633181v1,Candidozyma auris,SCPM-O-F-2066 KA11,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FF323725
GCA_049307125.1_ASM4930712v1,Candidozyma auris,SCPM-O-F-2159 I1,PRJNA269675,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FD1F1B8E
GCA_049863235.1_ASM4986323v1,Candidozyma auris,SI-CAU-1199,PRJNA1228295,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F9279B80
GCA_050656175.1_ASM5065617v1,Candidozyma auris,SI-CAU-390,PRJNA1122935,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FEA07F29
GCA_050656165.1_ASM5065616v1,Candidozyma auris,SI-CAU-425,PRJNA1122935,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FCB3704D
GCA_050656055.1_ASM5065605v1,Candidozyma auris,SI-CAU-503,PRJNA1122935,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F16EDA1A
GCA_050656045.1_ASM5065604v1,Candidozyma auris,SI-CAU-605,PRJNA1122935,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F36C67E9
GCA_050656065.1_ASM5065606v1,Candidozyma auris,SI-CAU-672,PRJNA1122935,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FF431018
GCA_049863305.1_ASM4986330v1,Candidozyma auris,SI-CAU-713,PRJNA1228295,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F480016D
GCA_049863345.1_ASM4986334v1,Candidozyma auris,SI-CAU-757,PRJNA1228295,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F0AF624C
GCA_049634905.1_ASM4963490v1,Candidozyma auris,T1M2498,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F8B574AE
GCA_049634895.1_ASM4963489v1,Candidozyma auris,T2M2497,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F07A9F72
GCA_049634865.1_ASM4963486v1,Candidozyma auris,T3M2496,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FCE58DA1
GCA_049635375.1_ASM4963537v1,Candidozyma auris,U10M1997,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FFD8FE4C
GCA_049635315.1_ASM4963531v1,Candidozyma auris,U11M2015,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F9076AAF
GCA_049635195.1_ASM4963519v1,Candidozyma auris,U12M2010,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F94C57F2
GCA_049635045.1_ASM4963504v1,Candidozyma auris,U13M1991,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FC61945D
GCA_049635055.1_ASM4963505v1,Candidozyma auris,U14M2004,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F57894D5
GCA_049635015.1_ASM4963501v1,Candidozyma auris,U15M2002,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F933024D
GCA_049637475.1_ASM4963747v1,Candidozyma auris,U1M2014,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F594C520
GCA_049637365.1_ASM4963736v1,Candidozyma auris,U2M2003,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F43303BB
GCA_049637355.1_ASM4963735v1,Candidozyma auris,U3M2008,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FCFE107F
GCA_049636055.1_ASM4963605v1,Candidozyma auris,U4M2009,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F7DEDEE2
GCA_049635875.1_ASM4963587v1,Candidozyma auris,U5M2007,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F3CC00B2
GCA_049635795.1_ASM4963579v1,Candidozyma auris,U6M2005,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FA1DF852
GCA_049635735.1_ASM4963573v1,Candidozyma auris,U7M1990,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F8273259
GCA_049635615.1_ASM4963561v1,Candidozyma auris,U8M1992,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,FAB3BF91
GCA_049635495.1_ASM4963549v1,Candidozyma auris,U9M2006,PRJNA1231771,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F6F102B1
GCA_053360865.1_UANL_Cauris_1,Candidozyma auris,UANL-MX01,PRJNA1235324,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F5FA413A
GCA_050437075.1_UFSCAURIS1,Candidozyma auris,UOFS Y-4024,PRJNA1214514,498019,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma auris,1,F3889144
GCA_030579055.1_ASM3057905v1,Candidozyma chanthaburiensis,CBS 10926,PRJNA736342,644821,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma chanthaburiensis,1,F0B9C535
GCF_002926085.2_CanDuoHae_v1.0,Candidozyma duobushaemuli,B09383,PRJNA421966,1231522,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma duobushaemuli,1,F2AA1C2B
GCA_011426315.1_ASM1142631v1,Candidozyma duobushaemuli,BMU05314,PRJNA541794,1231522,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma duobushaemuli,1,FFF0D394
GCA_030575055.1_ASM3057505v1,Candidozyma duobushaemuli,NRRL Y-17802,PRJNA736342,1231522,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma duobushaemuli,1,F6D84375
GCF_002926055.2_CanHae_1.0,Candidozyma haemuli,B11899,PRJNA421961,45357,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma haemuli,1,FF305436
GCA_011426285.1_ASM1142628v1,Candidozyma haemuli,BMU05228,PRJNA541353,45357,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma haemuli,1,F5B75E8D
GCA_057128005.1_ASM5712800v1,Candidozyma haemuli,ButPro,PRJNA1439861,45357,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma haemuli,1,F2F17851
GCA_019332025.1_ASM1933202v1,Candidozyma haemuli,CA3LBN,PRJNA736216,45357,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma haemuli,1,F923B483
GCA_012184645.1_IPPP_Chae_K1.1,Candidozyma haemuli var. vulneris,K1,PRJNA559198,1231523,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma haemuli,1,F5FD9AE1
GCA_012184655.1_IPPP_Chae_K2.1,Candidozyma haemuli var. vulneris,K2,PRJNA559198,1231523,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma haemuli,1,F8E2F778
GCA_030569475.1_ASM3056947v1,Candidozyma haemuli,NRRL Y-6693,PRJNA736342,45357,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma haemuli,1,FA194955
GCA_003708405.2_ASM370840v2,Candidozyma heveicola,NRRL Y-48716,PRJNA429441,487108,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma heveicola,1,FC942B2C
GCA_030563505.1_ASM3056350v1,Candidozyma konsanensis,NRRL Y-63889,PRJNA736342,1170579,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma konsanensis,1,F05285CE
GCA_051101175.1_CBS18490_v3_manual,Candidozyma molenica,CBS18490,PRJNA1069609,3242289,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma molenica,1,FAA58454
GCA_051101345.1_CBS18491_v3_manual,Candidozyma molenica,CBS18491,PRJNA1069609,3242289,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma molenica,1,FEE2878D
GCA_051102155.1_CBS18500_v3_manual,Candidozyma molenica,CBS18500,PRJNA1069609,3242289,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma molenica,1,F4CFDF89
GCA_051102325.1_CBS18501_v2_manual,Candidozyma molenica,CBS18501,PRJNA1069609,3242289,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma molenica,1,F2C19FE3
GCF_003013735.1_Cand_pseudohaemulonii_B12108,Candidozyma pseudohaemuli,B12108,PRJNA438484,418784,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma pseudohaemuli,1,F2F89D1A
GCA_030573385.1_ASM3057338v1,Candidozyma pseudohaemuli,NRRL Y-48733,PRJNA736342,418784,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma pseudohaemuli,1,FE060BAE
GCA_002933435.1_UZ153_17,Candidozyma pseudohaemuli,UZ153_17,PRJNA416421,418784,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma pseudohaemuli,1,F35DB44A
GCA_030582895.1_ASM3058289v1,Candidozyma ruelliae,NRRL Y-48703,PRJNA736342,1276169,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma ruelliae,1,F487341F
GCA_046254495.1_ASM4625449v1,Candidozyma sp. MB-2024a,UFMG-CM-Y6065,PRJNA1180885,3377672,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma sp. MB-2024a,1,FF2870A3
GCA_026585945.1_CBS14366_v1,Candidozyma vulturna,CBS 14366,PRJNA560499,2093215,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma vulturna,1,F0250C6D
GCA_044344055.1_ASM4434405v1,Candidozyma vulturna,CVDH07,PRJNA923485,2093215,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Metschnikowiaceae,Candidozyma,Candidozyma vulturna,1,FBB0467A
GCA_004126415.1_ASM412641v1,Candolleomyces aberdarensis,IHI B618,PRJNA516162,2316362,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Candolleomyces,Candolleomyces aberdarensis,1,FCAE58FD
GCA_055944365.1_CMEB_Cancan_1.0,Candolleomyces candolleanus,CMU-8613,PRJNA1370195,71730,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Candolleomyces,Candolleomyces candolleanus,1,FA63C8CD
GCA_027579765.1_Candolleomyces_efflorescens_reassembly_enz,Candolleomyces efflorescens,VT131,PRJNA805058,2917767,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Candolleomyces,Candolleomyces efflorescens,1,FC18AD65
GCA_027579435.1_Candolleomyces_eurysporus_reassembly_enz,Candolleomyces eurysporus,VTCC 930004,PRJNA647680,2828524,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Psathyrellaceae,Candolleomyces,Candolleomyces eurysporus,1,F41267C2
GCF_015039405.1_Cananz1,Cantharellus anzutake,C23,PRJNA245611,1750568,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Hydnaceae,Cantharellus,Cantharellus anzutake,1,F2951465
GCA_003314335.1_ASM331433v1,Cantharellus appalachiensis,MG38,PRJNA454572,409893,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Hydnaceae,Cantharellus,Cantharellus appalachiensis,1,F24470EB
GCA_003521295.1_ASM352129v1,Cantharellus cibarius,MG75,PRJNA454572,36066,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Hydnaceae,Cantharellus,Cantharellus cibarius,1,FA204022
GCA_003314235.1_ASM331423v1,Cantharellus cinnabarinus,MG28,PRJNA454572,57193,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Hydnaceae,Cantharellus,Cantharellus cinnabarinus,1,F3F06A01
GCA_025174535.1_ASM2517453v1,Cantharellus purpuraceus,GAF-M-20071601,PRJNA815479,2926464,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Hydnaceae,Cantharellus,Cantharellus purpuraceus,1,F16D8DFE
GCA_016630905.1_ASM1663090v1,Capillidium heterosporum,CGMCC 3.15857,PRJNA575207,1167838,fungi,Entomophthoromycota,,Entomophthoromycetes,,Entomophthorales,Ancylistaceae,Capillidium,Capillidium heterosporum,1,FDAC0301
GCA_037055185.1_ASM3705518v1,Capillidium rhysosporum,ATCC 12588,PRJNA1030606,181046,fungi,Entomophthoromycota,,Entomophthoromycetes,,Entomophthorales,Ancylistaceae,Capillidium,Capillidium rhysosporum,1,FE27A8BE
GCA_001661515.1_ASM166151v1,Capniomyces stellatus,MIS-10-108,PRJNA315385,4885,fungi,Kickxellomycota,,Harpellomycetes,,Harpellales,Legeriomycetaceae,Capniomyces,Capniomyces stellatus,1,F3D937C5
GCA_016110135.1_ASM1611013v1,Capronia americana,BMU 00125,PRJNA674881,5601,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia americana,1,F27E22B1
GCA_016110145.1_ASM1611014v1,Capronia americana,BMU 01244,PRJNA674881,5601,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia americana,1,FF825835
GCA_016110105.1_ASM1611010v1,Capronia americana,BMU 06000,PRJNA674881,5601,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia americana,1,FBF02939
GCA_016110215.1_ASM1611021v1,Capronia americana,BMU 07645,PRJNA674881,5601,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia americana,1,F8A4EBCB
GCA_016110205.1_ASM1611020v1,Capronia americana,BMU 07652,PRJNA674881,5601,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia americana,1,FAEA7003
GCA_016110225.1_ASM1611022v1,Capronia americana,BMU 07696,PRJNA674881,5601,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia americana,1,FE047C3E
GCA_016110115.1_ASM1611011v1,Capronia americana,BMU 09530,PRJNA674881,5601,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia americana,1,F4B0148D
GCF_000585585.1_Capr_coro_CBS_617_96_V1,Capronia coronata CBS 617.96,CBS 617.96,PRJNA164585,1182541,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia coronata,1,FAF22CDB
GCF_000585565.1_Capr_epim_CBS_606_96_V1,Capronia epimyces CBS 606.96,CBS 606.96,PRJNA164587;PRJNA167910;PRJNA175043,1182542,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia epimyces,1,FC24133B
GCA_030563415.1_ASM3056341v1,Casaregolazyma lundiana,CBS 12271 T,PRJNA736342,795804,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Casaregolazyma,Casaregolazyma lundiana,1,F4F8C5D9
GCA_030580475.1_ASM3058047v1,Casaregolazyma patagonica,CBS 10443,PRJNA736342,399783,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Casaregolazyma,Casaregolazyma patagonica,1,F5B9722F
GCA_030568895.1_ASM3056889v1,Casaregolazyma suthepensis,CBS 12270 T,PRJNA736342,795803,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Casaregolazyma,Casaregolazyma suthepensis,1,F5CBC2FE
GCA_002102555.1_Catan2,Catenaria anguillulae PL171,PL171,PRJNA330705,765915,fungi,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Catenariaceae,Catenaria,Catenaria anguillulae,1,FA566070
GCA_046718245.1_ASM4671824v1,Catenulostroma hermanusense,GZ55-1,PRJNA1051547,1049284,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Catenulostroma,Catenulostroma hermanusense,1,FB56A3F9
GCA_001640685.1_ASM164068v1,Catunica adiposa,CBS136.34,PRJNA319432,72027,dikarya,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Catunica,Catunica adiposa,1,F8333576
GCA_003615045.1_Caupr1,Caulochytrium protostelioides,ATCC 52028,PRJNA421608,1555241,fungi,Chytridiomycota,,Caulochytriomycetes,,Caulochytriales,Caulochytriaceae,Caulochytrium,Caulochytrium protostelioides,1,F3F252DC
GCA_016584495.1_CeDisp_v1,Celoporthe dispersa,CMW9976,PRJNA574566,224443,dikarya,Ascomycota,,Sordariomycetes,,Diaporthales,Cryphonectriaceae,Celoporthe,Celoporthe dispersa,1,FFB6F341
GCA_050273025.1_ASM5027302v1,Cenococcum geophilum,1.058,PRJNA1071488,5570,dikarya,Ascomycota,,Dothideomycetes,,Gloniales,Gloniaceae,Cenococcum,Cenococcum geophilum,1,F1A67265
GCF_001692895.1_Cenococcum_geophilum_1.58_v2.0,Cenococcum geophilum 1.58,1.58,PRJNA196023,794803,dikarya,Ascomycota,,Dothideomycetes,,Gloniales,Gloniaceae,Cenococcum,Cenococcum geophilum,1,F230FEA8
GCA_030575015.1_ASM3057501v1,Cephaloascus albidus,NRRL Y-7343,PRJNA736342,43958,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Cephaloascaceae,Cephaloascus,Cephaloascus albidus,1,FE59C9BB
GCA_003707825.3_ASM370782v3,Cephaloascus fragrans,NRRL Y-6742,PRJNA429441,27311,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Cephaloascaceae,Cephaloascus,Cephaloascus fragrans,1,FFD23175
GCA_900312665.1_Dor_NG_p51_version_1_1,Cephalotrichum gorgonifer,,PRJEB15373,2041049,dikarya,Ascomycota,,Sordariomycetes,,Microascales,Microascaceae,Cephalotrichum,Cephalotrichum gorgonifer,1,FB60EBFD
GCA_900000165.1_Ceraceosorus_bombacis,Ceraceosorus bombacis,,PRJEB6935,401625,dikarya,Basidiomycota,,Exobasidiomycetes,,Ceraceosorales,Ceraceosoraceae,Ceraceosorus,Ceraceosorus bombacis,1,F1695080
GCF_003144195.1_Cersp1,Ceraceosorus guamensis,MCA 4658,PRJNA254921,1522189,dikarya,Basidiomycota,,Exobasidiomycetes,,Ceraceosorales,Ceraceosoraceae,Ceraceosorus,Ceraceosorus guamensis,1,F2948AFF
GCA_000372705.1_YLSCbra_1.0,Cerataphis brasiliensis yeast-like symbiont,,PRJNA169168,1202554,dikarya,Ascomycota,,,,,,,Cerataphis brasiliensis yeast-like symbiont,1,FC2632AE
GCA_049000075.1_R0301.hap1,Ceratobasidium cereale,R0301,PRJNA1187694;PRJNA1226237,76351,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium cereale,1,F70804FF
GCA_037042815.1_FABI_CPap_1.1,Ceratobasidium papillatum,CBS 570.83,PRJNA1046290,184409,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium papillatum,1,FC2CD59A
GCA_019677355.1_ASM1967735v1,Ceratobasidium sp. 370,370,PRJNA557749,2600201,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. 370,1,F32BC843
GCA_019677385.1_ASM1967738v1,Ceratobasidium sp. 392,392,PRJNA557750,2600202,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. 392,1,FAA90D9D
GCA_019616325.1_Cerato394_1.0,Ceratobasidium sp. 394,394,PRJNA557751,2600203,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. 394,1,F91F7618
GCA_019616345.1_Cerato395_1.0,Ceratobasidium sp. 395,395,PRJNA557752,2600204,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. 395,1,FECF4815
GCA_019616945.1_Cerato414_1.0,Ceratobasidium sp. 414,414,PRJNA557753,2600205,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. 414,1,F79CA7D1
GCA_019616915.1_Cerato423_1.0,Ceratobasidium sp. 423,423,PRJNA557754,2600206,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. 423,1,F374AC72
GCA_019623705.1_Cerato428_1.0,Ceratobasidium sp. 428,428,PRJNA557755,2600207,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. 428,1,F077008D
GCA_016906555.1_ASM1690655v1,Ceratobasidium sp. AG-Ba,AG-Ba,PRJNA624247,170446,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. AG-Ba,1,F1D84442
GCA_054856385.1_ASM5485638v1,Ceratobasidium sp. AG-Bb,8-Q-36,PRJNA1410959,170445,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. AG-Bb,1,F33D5451
GCA_015039395.1_CerAGI,Ceratobasidium sp. AG-I,anastomosis group I,PRJNA333964,305860,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. AG-I,1,F70F05AB
GCA_037039685.1_ASM3703968v1,Ceratobasidium sp. AG-K,GS6,PRJNA962666,251411,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. AG-K,1,FF1036D5
GCA_025200755.1_ASM2520075v1,Ceratobasidium sp. C01,C01,PRJNA873516,2975142,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. C01,1,F62C7CE2
GCA_047651735.1_ASM4765173v1,Ceratobasidium sp. Cej3,Cej3,PRJNA1208937,3392184,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp. Cej3,1,F863C518
