ASMID,ORIG SPECIES,MODIFIED SPECIES,ORIG STRAIN,MODIFIED STRAIN
GCF_036370985.1_Kaz3,Arxiozyma heterogenica,Arxiozyma heterogenica,weizmannii,weizmannii
GCA_950065675.1_KPIN-4417,Arxiozyma pintolopesii,Arxiozyma pintolopesii,,
GCA_041941585.1_ASM4194158v1,Arxiozyma pintolopesii,Arxiozyma pintolopesii,C89-2,C89-2
GCA_041941635.1_ASM4194163v1,Arxiozyma pintolopesii,Arxiozyma pintolopesii,ID1LA,ID1LA
GCA_041941575.1_ASM4194157v1,Arxiozyma pintolopesii,Arxiozyma pintolopesii,IDNYC,IDNYC
GCA_030674285.1_ASM3067428v1,Arxiozyma pintolopesii,Arxiozyma pintolopesii,NRRL Y-27500,NRRL Y-27500
GCA_041941595.1_ASM4194159v1,Arxiozyma pintolopesii,Arxiozyma pintolopesii,QC1,QC1
GCA_042140155.1_ASM4214015v1,Arxiozyma pintolopesii,Arxiozyma pintolopesii,W26G,W26G
GCA_017347545.2_ASM1734754v2,Arxiozyma slooffiae,Arxiozyma slooffiae,ABBL,ABBL
GCA_030580615.1_ASM3058061v1,Arxiozyma slooffiae,Arxiozyma slooffiae,NRRL Y-4349,NRRL Y-4349
GCA_030571675.1_ASM3057167v1,Arxiozyma telluris,Arxiozyma telluris,NRRL Y-4302,NRRL Y-4302
GCA_009394695.1_ASM939469v1,Arxiozyma telluris,Arxiozyma telluris,UCD400,UCD400
GCA_030780645.1_ASM3078064v1,Aschersonia sp. MBC 508,Aschersonia sp. MBC 508,MBC 508,MBC 508
GCA_030780945.1_ASM3078094v1,Aschersonia sp. MBC 593,Aschersonia sp. MBC 593,MBC 593,MBC 593
GCA_030781625.1_ASM3078162v1,Aschersonia sp. MBC 610,Aschersonia sp. MBC 610,MBC 610,MBC 610
GCA_030781705.1_ASM3078170v1,Aschersonia sp. MBC 612,Aschersonia sp. MBC 612,MBC 612,MBC 612
GCA_030782805.1_ASM3078280v1,Aschersonia sp. MBC 622,Aschersonia sp. MBC 622,MBC 622,MBC 622
GCA_030783285.1_ASM3078328v1,Aschersonia sp. MBC 710,Aschersonia sp. MBC 710,MBC 710,MBC 710
GCA_030783925.1_ASM3078392v1,Aschersonia sp. MBC 735,Aschersonia sp. MBC 735,MBC 735,MBC 735
GCA_030785145.1_ASM3078514v1,Aschersonia sp. MBC 819,Aschersonia sp. MBC 819,MBC 819,MBC 819
GCA_030787035.1_ASM3078703v1,Aschersonia sp. MBC 877,Aschersonia sp. MBC 877,MBC 877,MBC 877
GCA_003788565.2_Ascim1,Ascobolus immersus,Ascobolus immersus,RN42,RN42
GCA_030573245.1_ASM3057324v1,Ascobotryozyma americana,Ascobotryozyma americana,CBS 8560,CBS 8560
GCA_030565755.1_ASM3056575v1,Ascobotryozyma cognata,Ascobotryozyma cognata,CBS 8753,CBS 8753
GCA_027946445.1_ASM2794644v1,Ascochyta clinopodiicola,Ascochyta clinopodiicola,IMI 359910,IMI 359910
GCA_024372685.1_206-15,Ascochyta fabae,Ascochyta fabae,206-15,206-15
GCA_004335285.1_ASM433528v1,Ascochyta fabae,Ascochyta fabae,247-15,247-15
GCA_024372665.1_FT15036,Ascochyta fabae,Ascochyta fabae,FT15036,FT15036
GCA_026119535.1_ASM2611953v1,Ascochyta koolunga,Ascochyta koolunga,BAL-14-264,BAL-14-264
GCA_004151575.1_ASM415157v1,Ascochyta koolunga,Ascochyta koolunga,CND-11-149,CND-11-149
GCA_004151145.1_ASM415114v1,Ascochyta koolunga,Ascochyta koolunga,GRP-15-464,GRP-15-464
GCA_026119525.1_ASM2611952v1,Ascochyta koolunga,Ascochyta koolunga,GRP-17-199,GRP-17-199
GCA_026119515.1_ASM2611951v1,Ascochyta koolunga,Ascochyta koolunga,KIN-16-703,KIN-16-703
GCA_004151165.1_ASM415116v1,Ascochyta koolunga,Ascochyta koolunga,PIN-15-415,PIN-15-415
GCA_026119505.1_ASM2611950v1,Ascochyta koolunga,Ascochyta koolunga,RBW-11-154,RBW-11-154
GCA_965178415.1_AlKewell_sdhB_H277L,Ascochyta lentis,Ascochyta lentis,,
GCA_004011705.1_Alentis_Al4,Ascochyta lentis,Ascochyta lentis,Al4,Al4
GCA_004335125.1_ASM433512v1,Ascochyta lentis,Ascochyta lentis,F16132,F16132
GCA_004335145.1_ASM433514v1,Ascochyta lentis,Ascochyta lentis,F16293-3,F16293-3
GCA_004335135.1_ASM433513v1,Ascochyta lentis,Ascochyta lentis,FT16116,FT16116
GCA_016097305.1_Al_Kewell_delta_SCD1_JD202.22,Ascochyta lentis,Ascochyta lentis,JD202.22,JD202.22
GCA_016097315.1_Al_Kewell_delta_SCD1_JD202.9,Ascochyta lentis,Ascochyta lentis,JD202.9,JD202.9
GCA_016097295.1_Al_Kewell_delta_SCD1_ectopic,Ascochyta lentis,Ascochyta lentis,JD202.ect,JD202.ect
GCA_016097375.2_AlKewell,Ascochyta lentis,Ascochyta lentis,Kewell,Kewell
GCA_022606875.1_Al_Kewell_delta_avrAl1,Ascochyta lentis,Ascochyta lentis,Kewell_delta_avrAl1,Kewell_delta_avrAl1
GCA_022607105.2_P94-24,Ascochyta lentis,Ascochyta lentis,P9424,P9424
GCA_022606885.1_P9424_delta_AvrAl1,Ascochyta lentis,Ascochyta lentis,P9424_delta_AvrAl1,P9424_delta_AvrAl1
GCA_026119825.1_ASM2611982v1,Ascochyta pisi,Ascochyta pisi,CBS 122785,CBS 122785
GCA_039634435.1_ASM3963443v1,Ascochyta pisi,Ascochyta pisi,HNA23,HNA23
GCA_965178425.1_ME14_delta_pks1_comp_pks1_at_sdhB_1500_bp_flanks,Ascochyta rabiei,Ascochyta rabiei,,
GCA_056320195.1_ASM5632019v1,Ascochyta rabiei,Ascochyta rabiei,15CUR005,15CUR005
GCA_056320165.1_ASM5632016v1,Ascochyta rabiei,Ascochyta rabiei,16CUR018,16CUR018
GCA_001630375.1_AscRab1.0,Ascochyta rabiei,Ascochyta rabiei,ArDII,ArDII
GCA_011037155.1_ASM1103715v1,Ascochyta rabiei,Ascochyta rabiei,ME14,ME14
GCF_004011695.2_ASM401169v2,Ascochyta rabiei,Ascochyta rabiei,Me14,Me14
GCA_056320135.1_ASM5632013v1,Ascochyta rabiei,Ascochyta rabiei,TR9571,TR9571
GCA_004335155.1_ASM433515v1,Ascochyta viciae,Ascochyta viciae,FOR-16-616,FOR-16-616
GCA_004335205.1_ASM433520v1,Ascochyta viciae-villosae,Ascochyta viciae-villosae,ONG-16-641,ONG-16-641
GCA_000328965.1_ASM32896v1,Ascocoryne sarcoides,Ascocoryne sarcoides,NRRL 50072,NRRL 50072
GCA_004786065.1_Ascni1,Ascodesmis nigricans,Ascodesmis nigricans,CBS 389.68,CBS 389.68
GCA_027569015.1_ASM2756901v1,Ascodesmis sphaerospora,Ascodesmis sphaerospora,NRRL 22422,NRRL 22422
GCA_031126425.1_ASM3112642v1,Ascoidea asiatica,Ascoidea asiatica,CBS 457.69,CBS 457.69
GCA_001600695.1_JCM_7603_assembly_v001,Ascoidea asiatica,Ascoidea asiatica,JCM 7603,JCM 7603
GCA_030572175.1_ASM3057217v1,Ascoidea asiatica,Ascoidea asiatica,NRRL Y-17632T,NRRL Y-17632T
GCA_030572095.1_ASM3057209v1,Ascoidea rubescens,Ascoidea rubescens,NRRL Y-17699,NRRL Y-17699
GCF_001661345.1_Ascru1,Ascoidea rubescens,Ascoidea rubescens,DSM 1968,DSM 1968
GCA_030560485.1_ASM3056048v1,Ascoidea tarda,Ascoidea tarda,NRRL Y-2393,NRRL Y-2393
GCA_029297955.1_ASM2929795v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1317,CTeuk-1317
GCA_029295915.1_ASM2929591v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1481,CTeuk-1481
GCA_029294875.1_ASM2929487v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1533,CTeuk-1533
GCA_029293645.1_ASM2929364v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1625,CTeuk-1625
GCA_029302335.1_ASM2930233v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1726,CTeuk-1726
GCA_029302195.1_ASM2930219v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1728,CTeuk-1728
GCA_029302095.1_ASM2930209v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1730,CTeuk-1730
GCA_029302105.1_ASM2930210v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1731,CTeuk-1731
GCA_029300655.1_ASM2930065v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1837,CTeuk-1837
GCA_029300615.1_ASM2930061v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1838,CTeuk-1838
GCA_029300415.1_ASM2930041v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1841,CTeuk-1841
GCA_029300195.1_ASM2930019v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1845,CTeuk-1845
GCA_029303315.1_ASM2930331v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1847,CTeuk-1847
GCA_029300035.1_ASM2930003v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1848,CTeuk-1848
GCA_029300015.1_ASM2930001v1,Ascomycota sp.,Ascomycota sp.,CTeuk-1849,CTeuk-1849
GCA_024244165.1_UCR_Aace_1.0,Ascosphaera acerosa,Ascosphaera acerosa,ATCC 201316,ATCC 201316
GCA_024244195.1_UCR_Aagg_1.0,Ascosphaera aggregata,Ascosphaera aggregata,USDA-ARS PIBMSR Wild2,USDA-ARS PIBMSR Wild2
GCA_001636715.1_AAP_1.0,Ascosphaera apis ARSEF 7405,Ascosphaera apis ARSEF 7405,ARSEF 7405,ARSEF 7405
GCA_000149775.1_ASM14977v1,Ascosphaera apis,Ascosphaera apis,USDA-ARSEF 7405,USDA-ARSEF 7405
GCA_024244595.1_UCR_Aatr_1.0,Ascosphaera atra,Ascosphaera atra,ARSEF 5147,ARSEF 5147
GCA_024244615.1_UCR_Apol_1.0,Ascosphaera pollenicola,Ascosphaera pollenicola,ATCC 62712,ATCC 62712
GCA_029299965.1_ASM2929996v1,Aspergillaceae sp.,Aspergillaceae sp.,CTeuk-1914,CTeuk-1914
GCA_003004485.1_ASM300448v1,Aspergillaceae sp. MA 6039,Aspergillaceae sp. MA 6039,MA 6039,MA 6039
GCA_016748025.1_ASM1674802v1,Aspergillus aculeatinus,Aspergillus aculeatinus,IC_8,IC_8
GCF_003184765.1_Aspacu1,Aspergillus aculeatinus,Aspergillus aculeatinus,CBS 121060,CBS 121060
GCA_039111485.1_ASM3911148v1,Aspergillus aculeatus,Aspergillus aculeatus,KLFASPA2A.1,KLFASPA2A.1
GCA_039111445.1_ASM3911144v1,Aspergillus aculeatus,Aspergillus aculeatus,KLFASPA3B.1,KLFASPA3B.1
GCF_001890905.1_Aspac1,Aspergillus aculeatus,Aspergillus aculeatus,ATCC 16872,ATCC 16872
GCA_001931935.1_ASM193193v1,Aspergillus aff. floccosus IMV 01167,Aspergillus aff. floccosus IMV 01167,IMV 01167,IMV 01167
GCF_023601865.1_ASM2360186v2,Aspergillus affinis,Aspergillus affinis,CMG 70,CMG 70
GCA_037043995.1_ASM3704399v1,Aspergillus aflatoxiformans,Aspergillus aflatoxiformans,LH_A394,LH_A394
GCF_009176365.1_Aspalli1,Aspergillus alliaceus,Aspergillus alliaceus,CBS 536.65,CBS 536.65
GCA_013421405.2_ASM1342140v2,Aspergillus alliaceus,Aspergillus alliaceus,FRR 5400,FRR 5400
GCA_029169295.1_UF_Alli_G4,Aspergillus alliaceus,Aspergillus alliaceus,G4,G4
GCA_009193605.1_Aspalbe1,Aspergillus alliaceus,Aspergillus alliaceus,IBT 14317,IBT 14317
GCF_047715705.1_Aspamb1,Aspergillus ambiguus,Aspergillus ambiguus,CBS 117.58,CBS 117.58
GCA_023624915.1_ASM2362491v1,Aspergillus amoenus,Aspergillus amoenus,S2904,S2904
GCA_009812435.1_ASM981243v1,Aspergillus amoenus,Aspergillus amoenus,UdeA_Aid1,UdeA_Aid1
GCA_027569315.1_ASM2756931v1,Aspergillus amstelodami,Aspergillus amstelodami,NRRL 89,NRRL 89
GCA_047496425.1_ASM4749642v1,Aspergillus annui,Aspergillus annui,IBT 36122,IBT 36122
GCA_002749805.1_ASM274980v1,Aspergillus arachidicola,Aspergillus arachidicola,CBS 117610,CBS 117610
GCA_009193545.1_Aspara19utr,Aspergillus arachidicola,Aspergillus arachidicola,CBS 117612,CBS 117612
GCA_044706995.1_ASM4470699v1,Aspergillus aspearensis,Aspergillus aspearensis,CBS 143672,CBS 143672
GCA_027569075.1_ASM2756907v1,Aspergillus asperescens,Aspergillus asperescens,NRRL 4770,NRRL 4770
GCA_047715765.1_Aspaura1,Aspergillus aurantiobrunneus,Aspergillus aurantiobrunneus,CBS 465.65,CBS 465.65
GCA_037043805.1_ASM3704380v1,Aspergillus austwickii,Aspergillus austwickii,LH_A515,LH_A515
GCA_009193465.1_Aspave1,Aspergillus avenaceus,Aspergillus avenaceus,IBT 18842,IBT 18842
GCA_003850985.1_Aawm_assembly01,Aspergillus awamori,Aspergillus awamori,IFM 58123,IFM 58123
GCA_001599415.1_JCM_22320_assembly_v001,Aspergillus awamori,Aspergillus awamori,JCM 22320,JCM 22320
GCA_027569055.1_ASM2756905v1,Aspergillus baeticus,Aspergillus baeticus,NRRL 62501,NRRL 62501
GCA_009193595.1_Aspber1,Aspergillus bertholletiae,Aspergillus bertholletiae,IBT 29228,IBT 29228
GCA_027569045.1_ASM2756904v1,Aspergillus biplanus,Aspergillus biplanus,NRRL 5071,NRRL 5071
GCA_001792695.1_ASM179269v1,Aspergillus bombycis,Aspergillus bombycis,NRRL 26010,NRRL 26010
GCF_001792695.1_ASM179269v1,Aspergillus bombycis,Aspergillus bombycis,NRRL26010,NRRL26010
GCA_027924085.1_AbraCBS73388_1.0,Aspergillus brasiliensis,Aspergillus brasiliensis,CBS 733.88,CBS 733.88
GCA_037892995.1_UAEM_Aspbra_1.0,Aspergillus brasiliensis,Aspergillus brasiliensis,E_15.1,E_15.1
GCA_027924045.1_AbraIFM66950_1.0,Aspergillus brasiliensis,Aspergillus brasiliensis,IFM 66950,IFM 66950
GCA_027924065.1_AbraIFM66951_1.0,Aspergillus brasiliensis,Aspergillus brasiliensis,IFM 66951,IFM 66951
GCF_001889945.1_Aspbr1,Aspergillus brasiliensis,Aspergillus brasiliensis,CBS 101740,CBS 101740
GCA_027569665.1_ASM2756966v1,Aspergillus bridgeri,Aspergillus bridgeri,NRRL 13000,NRRL 13000
GCF_003184695.1_Aspbru1,Aspergillus brunneoviolaceus,Aspergillus brunneoviolaceus,CBS 621.78,CBS 621.78
GCA_020284055.1_ASM2028405v1,Aspergillus brunneus,Aspergillus brunneus,CBS 112.26,CBS 112.26
GCF_009193585.1_Aspcae1,Aspergillus caelatus,Aspergillus caelatus,CBS 763.97,CBS 763.97
GCA_001511075.1_Acal_Allpaths_LG,Aspergillus calidoustus,Aspergillus calidoustus,,
GCA_022813285.1_ASM2281328v1,Aspergillus calidoustus,Aspergillus calidoustus,FKI-L3-BK-DRAB1,FKI-L3-BK-DRAB1
GCA_022814525.1_ASM2281452v1,Aspergillus calidoustus,Aspergillus calidoustus,FKII-L2-CM-DR1,FKII-L2-CM-DR1
GCA_022814485.1_ASM2281448v1,Aspergillus calidoustus,Aspergillus calidoustus,FKII-L2-CM-PAB1,FKII-L2-CM-PAB1
GCA_022814385.1_ASM2281438v1,Aspergillus calidoustus,Aspergillus calidoustus,FKII-L3-BK-DRAB4,FKII-L3-BK-DRAB4
GCA_022814395.1_ASM2281439v1,Aspergillus calidoustus,Aspergillus calidoustus,FKII-L3-BK-PAB1,FKII-L3-BK-PAB1
GCA_045785085.1_Aspcalif1,Aspergillus californicus,Aspergillus californicus,CBS 123895,CBS 123895
GCA_037044165.1_ASM3704416v1,Aspergillus campestris,Aspergillus campestris,LH_A408,LH_A408
GCF_002847485.1_Aspcam1,Aspergillus campestris,Aspergillus campestris,IBT 28561,IBT 28561
GCF_002847045.1_Aspcand1,Aspergillus candidus,Aspergillus candidus,CBS 102.13,CBS 102.13
GCA_001990825.1_Aspca3,Aspergillus carbonarius,Aspergillus carbonarius,ITEM 5010,ITEM 5010
GCA_025688815.1_Aspcar1,Aspergillus carlsbadensis,Aspergillus carlsbadensis,CBS 123894,CBS 123894
GCA_051168675.1_ASM5116867v1,Aspergillus carlsbadensis,Aspergillus carlsbadensis,M4,M4
GCA_044048685.1_Aspamy1,Aspergillus cavernicola,Aspergillus cavernicola,CBS 600.67,CBS 600.67
GCA_027569065.1_ASM2756906v1,Aspergillus cavernicola,Aspergillus cavernicola,NRRL 6327,NRRL 6327
GCA_004769165.1_ASM476916v1,Aspergillus cejpii,Aspergillus cejpii,FS110,FS110
GCA_982397215.1_T20-F,Aspergillus chevalieri,Aspergillus chevalieri,,
GCA_045514245.1_ASM4551424v1,Aspergillus chevalieri,Aspergillus chevalieri,CCTCCAF2023003,CCTCCAF2023003
GCA_001599875.1_JCM_23047_assembly_v001,Aspergillus chevalieri,Aspergillus chevalieri,JCM 23047,JCM 23047
GCF_016861735.1_AchevalieriM1_assembly01,Aspergillus chevalieri,Aspergillus chevalieri,M1,M1
GCA_049306625.1_ASM4930662v1,Aspergillus chevalieri,Aspergillus chevalieri,MHR2,MHR2
GCA_023619795.1_ASM2361979v1,Aspergillus chevalieri,Aspergillus chevalieri,P2701V1,P2701V1
GCA_023619785.1_ASM2361978v1,Aspergillus chevalieri,Aspergillus chevalieri,PG3604,PG3604
GCA_041430515.1_ASM4143051v1,Aspergillus chevalieri,Aspergillus chevalieri,VP_06,VP_06
GCA_041430555.1_ASM4143055v1,Aspergillus chevalieri,Aspergillus chevalieri,VP_07,VP_07
GCA_023620035.1_ASM2362003v1,Aspergillus clavatus,Aspergillus clavatus,M-2-1,M-2-1
GCF_000002715.2_ASM271v1,Aspergillus clavatus,Aspergillus clavatus,NRRL 1,NRRL 1
GCA_027569095.1_ASM2756909v1,Aspergillus conjunctus,Aspergillus conjunctus,NRRL 5080,NRRL 5080
GCA_009193565.1_Aspcor1,Aspergillus coremiiformis,Aspergillus coremiiformis,CBS 553.77,CBS 553.77
GCF_003184835.1_Aspcos1,Aspergillus costaricensis,Aspergillus costaricensis,CBS 115574,CBS 115574
GCA_022814465.1_ASM2281446v1,Aspergillus costaricensis,Aspergillus costaricensis,FKII-L6-BK-DRAB1,FKII-L6-BK-DRAB1
GCA_037044335.1_ASM3704433v1,Aspergillus costaricensis,Aspergillus costaricensis,LH_A159,LH_A159
GCA_037044115.1_ASM3704411v1,Aspergillus costiformis,Aspergillus costiformis,LH_A226,LH_A226
GCA_021436935.1_ASM2143693v1,Aspergillus creber,Aspergillus creber,HOSP050413_5_135,HOSP050413_5_135
GCA_034509305.1_ASM3450930v1,Aspergillus cristatus,Aspergillus cristatus,2e,2e
GCA_026770215.1_ASM2677021v1,Aspergillus cristatus,Aspergillus cristatus,ACQ.1,ACQ.1
GCA_020466005.1_ASM2046600v1,Aspergillus cristatus,Aspergillus cristatus,AC_1,AC_1
GCA_020465965.1_ASM2046596v1,Aspergillus cristatus,Aspergillus cristatus,AC_2,AC_2
GCA_044232405.1_ASM4423240v1,Aspergillus cristatus,Aspergillus cristatus,BL-2023a,BL-2023a
GCA_044706195.1_ASM4470619v1,Aspergillus cristatus,Aspergillus cristatus,EC520,EC520
GCA_054135345.1_ASM5413534v1,Aspergillus cristatus,Aspergillus cristatus,GT1,GT1
GCA_001717485.1_ASM171748v1,Aspergillus cristatus,Aspergillus cristatus,GZAAS20.1005,GZAAS20.1005
GCA_054825215.1_ASM5482521v1,Aspergillus cristatus,Aspergillus cristatus,JH-5,JH-5
GCA_025766235.1_ASM2576623v1,Aspergillus cristatus,Aspergillus cristatus,PB2712,PB2712
GCA_025766175.1_ASM2576617v1,Aspergillus cristatus,Aspergillus cristatus,S2702,S2702
GCA_001693355.1_ASM169335v1,Aspergillus cristatus,Aspergillus cristatus,YKY807,YKY807
GCA_019828945.1_ASM1982894v1,Aspergillus croceus,Aspergillus croceus,JS3-P1,JS3-P1
GCA_048571495.1_Aspcru1,Aspergillus crustosus,Aspergillus crustosus,CBS 478.65,CBS 478.65
GCA_027569695.1_ASM2756969v1,Aspergillus cvjetkovicii,Aspergillus cvjetkovicii,NRRL 227,NRRL 227
GCA_047715865.1_Aspdese1,Aspergillus desertorum,Aspergillus desertorum,CBS 653.73,CBS 653.73
GCA_056320525.1_ASM5632052v1,Aspergillus destruens,Aspergillus destruens,EXF-10360,EXF-10360
GCA_056321185.1_ASM5632118v1,Aspergillus destruens,Aspergillus destruens,EXF-7651,EXF-7651
GCA_027569885.1_ASM2756988v1,Aspergillus diversus,Aspergillus diversus,NRRL 5074,NRRL 5074
GCA_025688805.1_Aspegy1,Aspergillus egyptiacus,Aspergillus egyptiacus,CBS 656.73,CBS 656.73
GCA_016097275.1_ASM1609727v1,Aspergillus elegans,Aspergillus elegans,IMI 345568,IMI 345568
GCA_003184645.1_Aspell1,Aspergillus ellipticus,Aspergillus ellipticus,CBS 707.79,CBS 707.79
GCF_003184535.1_Aspeuc1,Aspergillus eucalypticola,Aspergillus eucalypticola,CBS 122712,CBS 122712
GCA_047715845.1_Aspfalc1,Aspergillus falconensis,Aspergillus falconensis,CBS 271.91,CBS 271.91
GCA_014281895.1_ASM1428189v1,Aspergillus felis,Aspergillus felis,CNM-CM5623,CNM-CM5623
GCA_014281915.1_ASM1428191v1,Aspergillus felis,Aspergillus felis,CNM-CM7691,CNM-CM7691
GCA_016413765.1_ASM1641376v1,Aspergillus felis,Aspergillus felis,FM324,FM324
GCA_055755405.1_ASM5575540v1,Aspergillus felis,Aspergillus felis,T4_F18,T4_F18
GCA_030014135.1_ASM3001413v1,Aspergillus fijiensis,Aspergillus fijiensis,CY4,CY4
GCF_003184825.1_Aspfij1,Aspergillus fijiensis,Aspergillus fijiensis,CBS 313.89,CBS 313.89
GCA_047715815.1_Aspfili1,Aspergillus filifer,Aspergillus filifer,CBS 114510,CBS 114510
GCA_008711225.1_ASM871122v1,Aspergillus fischeri,Aspergillus fischeri,IBT 3003,IBT 3003
GCA_008711165.1_ASM871116v1,Aspergillus fischeri,Aspergillus fischeri,IBT 3007,IBT 3007
GCA_016748045.1_ASM1674804v1,Aspergillus fischeri,Aspergillus fischeri,NRRL4161,NRRL4161
GCA_014250575.1_ASM1425057v1,Aspergillus fischeri,Aspergillus fischeri,NRRL4585,NRRL4585
GCF_000149645.3_ASM14964v4,Aspergillus fischeri,Aspergillus fischeri,NRRL 181,NRRL 181
GCA_982397295.1_T2-F,Aspergillus flavus,Aspergillus flavus,,
GCA_013435925.1_ASM1343592v1,Aspergillus flavus,Aspergillus flavus,07-C-1-1-1,07-C-1-1-1
GCA_013436105.1_ASM1343610v1,Aspergillus flavus,Aspergillus flavus,07-C-1-1-4,07-C-1-1-4
GCA_013435855.1_ASM1343585v1,Aspergillus flavus,Aspergillus flavus,07-C-3-2-5,07-C-3-2-5
GCA_013435825.1_ASM1343582v1,Aspergillus flavus,Aspergillus flavus,07-C-3-5-5,07-C-3-5-5
GCA_013435835.1_ASM1343583v1,Aspergillus flavus,Aspergillus flavus,07-C-5-1-5,07-C-5-1-5
GCA_013435725.1_ASM1343572v1,Aspergillus flavus,Aspergillus flavus,07-C-7-10-3,07-C-7-10-3
GCA_013436085.1_ASM1343608v1,Aspergillus flavus,Aspergillus flavus,07-C-7-6-4,07-C-7-6-4
GCA_013436455.1_ASM1343645v1,Aspergillus flavus,Aspergillus flavus,07-M-C-3-1-7,07-M-C-3-1-7
GCA_013436095.1_ASM1343609v1,Aspergillus flavus,Aspergillus flavus,07-M-S-3-3-2,07-M-S-3-3-2
GCA_013436115.1_ASM1343611v1,Aspergillus flavus,Aspergillus flavus,07-M-S-3-6-1,07-M-S-3-6-1
GCA_013436445.1_ASM1343644v1,Aspergillus flavus,Aspergillus flavus,07-S-1-1-7,07-S-1-1-7
GCA_013436375.1_ASM1343637v1,Aspergillus flavus,Aspergillus flavus,07-S-2-1-1,07-S-2-1-1
GCA_013436355.1_ASM1343635v1,Aspergillus flavus,Aspergillus flavus,07-S-2-1-2,07-S-2-1-2
GCA_013436335.1_ASM1343633v1,Aspergillus flavus,Aspergillus flavus,07-S-2-5-7,07-S-2-5-7
GCA_013436315.1_ASM1343631v1,Aspergillus flavus,Aspergillus flavus,07-S-3-1-1,07-S-3-1-1
GCA_013436325.1_ASM1343632v1,Aspergillus flavus,Aspergillus flavus,07-S-3-1-8,07-S-3-1-8
GCA_013436235.1_ASM1343623v1,Aspergillus flavus,Aspergillus flavus,07-S-3-2-4,07-S-3-2-4
GCA_013436215.1_ASM1343621v1,Aspergillus flavus,Aspergillus flavus,07-S-4-4-1,07-S-4-4-1
GCA_013436195.1_ASM1343619v1,Aspergillus flavus,Aspergillus flavus,07-S-6-4-1,07-S-6-4-1
GCA_013436165.1_ASM1343616v1,Aspergillus flavus,Aspergillus flavus,07-S-6-5-4,07-S-6-5-4
GCA_052815545.1_ASM5281554v1,Aspergillus flavus,Aspergillus flavus,115_Fla,115_Fla
GCA_052815525.1_ASM5281552v1,Aspergillus flavus,Aspergillus flavus,119_Fla,119_Fla
GCA_052815505.1_ASM5281550v1,Aspergillus flavus,Aspergillus flavus,120_Fla,120_Fla
GCA_052815445.1_ASM5281544v1,Aspergillus flavus,Aspergillus flavus,121_Fla,121_Fla
GCA_052815425.1_ASM5281542v1,Aspergillus flavus,Aspergillus flavus,122_Fla,122_Fla
GCA_052815365.1_ASM5281536v1,Aspergillus flavus,Aspergillus flavus,123_Fla,123_Fla
GCA_052814805.1_ASM5281480v1,Aspergillus flavus,Aspergillus flavus,15_Fla,15_Fla
GCA_003953865.1_ASM395386v1,Aspergillus flavus,Aspergillus flavus,2017 Coahoma J1,2017 Coahoma J1
GCA_003953795.1_ASM395379v1,Aspergillus flavus,Aspergillus flavus,2017 Coahoma J3,2017 Coahoma J3
GCA_003953785.1_ASM395378v1,Aspergillus flavus,Aspergillus flavus,2017 Coahoma J6,2017 Coahoma J6
GCA_003953735.1_ASM395373v1,Aspergillus flavus,Aspergillus flavus,2017 Coahoma J7,2017 Coahoma J7
GCA_003953695.1_ASM395369v1,Aspergillus flavus,Aspergillus flavus,2017 Coahoma J8,2017 Coahoma J8
GCA_003953705.1_ASM395370v1,Aspergillus flavus,Aspergillus flavus,2017 Washington T1,2017 Washington T1
GCA_003953715.1_ASM395371v1,Aspergillus flavus,Aspergillus flavus,2017 Washington T2,2017 Washington T2
GCA_003953685.1_ASM395368v1,Aspergillus flavus,Aspergillus flavus,2017 Washington T3,2017 Washington T3
GCA_003953615.1_ASM395361v1,Aspergillus flavus,Aspergillus flavus,2017 Washington T4,2017 Washington T4
GCA_003953825.1_ASM395382v1,Aspergillus flavus,Aspergillus flavus,2017 Washington T5,2017 Washington T5
GCA_003953625.1_ASM395362v1,Aspergillus flavus,Aspergillus flavus,2017 Washington T6,2017 Washington T6
GCA_003953605.1_ASM395360v1,Aspergillus flavus,Aspergillus flavus,2017 Washington T7,2017 Washington T7
GCA_003953595.1_ASM395359v1,Aspergillus flavus,Aspergillus flavus,2017 Washington T8,2017 Washington T8
GCA_003953585.1_ASM395358v1,Aspergillus flavus,Aspergillus flavus,2017 Yazoo S1,2017 Yazoo S1
GCA_003953805.1_ASM395380v1,Aspergillus flavus,Aspergillus flavus,2017 Yazoo S2,2017 Yazoo S2
GCA_003953505.1_ASM395350v1,Aspergillus flavus,Aspergillus flavus,2017 Yazoo S3,2017 Yazoo S3
GCA_003953495.1_ASM395349v1,Aspergillus flavus,Aspergillus flavus,2017 Yazoo S4,2017 Yazoo S4
