ASMID,ORIG SPECIES,MODIFIED SPECIES,ORIG STRAIN,MODIFIED STRAIN
GCA_030579075.1_ASM3057907v1,_Candida_ dajiaensis,Candida dajiaensis,CBS 10590,CBS 10590
GCA_030579135.1_ASM3057913v1,_Candida_ danieliae,Candida danieliae,CBS 8533,CBS 8533
GCA_030570475.1_ASM3057047v1,_Candida_ dendrica,Candida dendrica,NRRL Y-7775,NRRL Y-7775
GCA_030572355.1_ASM3057235v1,_Candida_ dendronema,Candida dendronema,NRRL Y-7781,NRRL Y-7781
GCA_980652965.1_TUCC00000373,_Candida_ diddensiae,Candida diddensiae,,
GCA_030563465.1_ASM3056346v1,_Candida_ diddensiae,Candida diddensiae,NRRL Y-7589T,NRRL Y-7589T
GCA_030570855.1_ASM3057085v1,_Candida_ digboiensis,Candida digboiensis,CBS 9800,CBS 9800
GCA_030579195.1_ASM3057919v1,_Candida_ diospyri,Candida diospyri,CBS 9769,CBS 9769
GCA_030580135.1_ASM3058013v1,_Candida_ easanensis,Candida easanensis,JCM 12476,JCM 12476
GCA_030582775.1_ASM3058277v1,_Candida_ endomychidarum,Candida endomychidarum,NRRL Y-27708,NRRL Y-27708
GCA_030557985.1_ASM3055798v1,_Candida_ ficus,Candida ficus,CBS 12638,CBS 12638
GCA_030560825.1_ASM3056082v1,_Candida_ fluviatilis,Candida fluviatilis,NRRL Y-7711,NRRL Y-7711
GCA_003707735.2_ASM370773v2,_Candida_ freyschussii,Candida freyschussii,NRRL Y-7957A,NRRL Y-7957A
GCA_030565865.1_ASM3056586v1,_Candida_ friedrichii,Candida friedrichii,NRRL Y-17653,NRRL Y-17653
GCA_030574815.1_ASM3057481v1,_Candida_ germanica,Candida germanica,NRRL Y-27064,NRRL Y-27064
GCA_030564305.1_ASM3056430v1,_Candida_ glaebosa,Candida glaebosa,NRRL Y-6949,NRRL Y-6949
GCA_030572315.1_ASM3057231v1,_Candida_ glucosophila,Candida glucosophila,NRRL Y-17219,NRRL Y-17219
GCA_030582695.1_ASM3058269v1,_Candida_ golubevii,Candida golubevii,NRRL Y-48707,NRRL Y-48707
GCA_003708985.3_ASM370898v3,_Candida_ gorgasii,Candida gorgasii,NRRL Y-27707,NRRL Y-27707
GCA_030561765.1_ASM3056176v1,_Candida_ hainanensis,Candida hainanensis,NRRL Y-48715,NRRL Y-48715
GCA_900535975.1_OLHI0,_Candida_ hispaniensis,Candida hispaniensis,CBS 9996,CBS 9996
GCA_003706965.1_ASM370696v1,_Candida_ hispaniensis,Candida hispaniensis,NRRL Y-5580,NRRL Y-5580
GCA_030563225.1_ASM3056322v1,_Candida_ hungchunana,Candida hungchunana,CBS 12243,CBS 12243
GCA_003706695.3_ASM370669v3,_Candida_ incommunis,Candida incommunis,NRRL Y-17085,NRRL Y-17085
GCA_056507785.1_ASM5650778v1,_Candida_ incommunis,Candida incommunis,PYCC 4837,PYCC 4837
GCA_030574155.1_ASM3057415v1,_Candida_ insectalens,Candida insectalens,NRRL Y-7778T,NRRL Y-7778T
GCA_030578955.1_ASM3057895v1,_Candida_ insectamans,Candida insectamans,NRRL Y-7786T,NRRL Y-7786T
GCA_030574895.1_ASM3057489v1,_Candida_ insectorum,Candida insectorum,NRRL Y-7787,NRRL Y-7787
GCA_030566495.1_ASM3056649v1,_Candida_ ipomoeae,Candida ipomoeae,NRRL Y-27455T,NRRL Y-27455T
GCA_002370145.1_ASM237014v1,_Candida_ ipomoeae,Candida ipomoeae,UWOPS 01-141c3,UWOPS 01-141c3
GCA_002374715.1_ASM237471v1,_Candida_ ipomoeae,Candida ipomoeae,UWOPS 10-104.1,UWOPS 10-104.1
GCA_002370905.1_ASM237090v1,_Candida_ ipomoeae,Candida ipomoeae,UWOPS 99-324.1,UWOPS 99-324.1
GCA_943733655.1_CLIB1444v1,_Candida_ jaroonii,Candida jaroonii,CLIB 1444,CLIB 1444
GCA_030556445.1_ASM3055644v1,_Candida_ jaroonii,Candida jaroonii,NBRC 103209,NBRC 103209
GCA_030562945.1_ASM3056294v1,_Candida_ jianshihensis,Candida jianshihensis,CBS 10591,CBS 10591
GCA_030555785.1_ASM3055578v1,_Candida_ kanchanaburiensis,Candida kanchanaburiensis,NBRC 104475,NBRC 104475
GCA_030563265.1_ASM3056326v1,_Candida_ khao-thaluensis,Candida khao-thaluensis,CBS 8535,CBS 8535
GCA_030572455.1_ASM3057245v1,_Candida_ koratica nom. ined.,Candida koratica nom. ined.,NBRC 103208,NBRC 103208
GCA_030582815.1_ASM3058281v1,_Candida_ krabiensis,Candida krabiensis,NRRL Y-27965,NRRL Y-27965
GCA_030563485.1_ASM3056348v1,_Candida_ lessepsii,Candida lessepsii,NRRL Y-27766 T,NRRL Y-27766 T
GCA_030563775.1_ASM3056377v1,_Candida_ loeiensis,Candida loeiensis,CBS 11899,CBS 11899
GCA_030563415.1_ASM3056341v1,_Candida_ lundiana,Candida lundiana,CBS 12271 T,CBS 12271 T
GCA_030582855.1_ASM3058285v1,_Candida_ lyxosophila,Candida lyxosophila,NRRL Y-17539,NRRL Y-17539
GCA_030563305.1_ASM3056330v1,_Candida_ maesae,Candida maesae,CBS 12240 T,CBS 12240 T
GCA_030569175.1_ASM3056917v1,_Candida_ manassasensis,Candida manassasensis,CBS 12534,CBS 12534
GCA_030557505.1_ASM3055750v1,_Candida_ maris,Candida maris,NRRL Y-6696T,NRRL Y-6696T
GCA_030564055.1_ASM3056405v1,_Candida_ mattraensis,Candida mattraensis,CBS 12097,CBS 12097
GCA_030572415.1_ASM3057241v1,_Candida_ membranifaciens,Candida membranifaciens,NRRL Y-2089,NRRL Y-2089
GCA_022457055.1_Cmemb_IST626,_Candida_ membranifaciens,Candida membranifaciens,IST 626,IST 626
GCA_030559045.1_ASM3055904v1,_Candida_ mesenterica,Candida mesenterica,NRRL Y-1494,NRRL Y-1494
GCA_015708695.1_ASM1570869v1,_Candida_ mesenterica,Candida mesenterica,UWOPS91-121.2,UWOPS91-121.2
GCA_030570755.1_ASM3057075v1,_Candida_ methanosorbosa,Candida methanosorbosa,NRRL Y-17320,NRRL Y-17320
GCA_030572395.1_ASM3057239v1,_Candida_ michaelii,Candida michaelii,NRRL Y-27705,NRRL Y-27705
GCA_003706615.3_ASM370661v3,_Candida_ montana,Candida montana,NRRL Y-17326,NRRL Y-17326
GCA_030572295.1_ASM3057229v1,_Candida_ multigemmis,Candida multigemmis,NRRL Y-17659,NRRL Y-17659
GCA_030563805.1_ASM3056380v1,_Candida_ namnaoensis,Candida namnaoensis,CBS 12175,CBS 12175
GCA_030557475.1_ASM3055747v1,_Candida_ nanaspora,Candida nanaspora,NRRL Y-17679,NRRL Y-17679
GCA_030567775.1_ASM3056777v1,_Candida_ nemodendra,Candida nemodendra,NRRL Y-7779,NRRL Y-7779
GCA_030567875.1_ASM3056787v1,_Candida_ nitratophila,Candida nitratophila,NRRL YB-3654,NRRL YB-3654
GCA_037951455.1_ASM3795145v1,_Candida_ nonsorbophila,Candida nonsorbophila,BP-1,BP-1
GCA_037951465.1_ASM3795146v1,_Candida_ nonsorbophila,Candida nonsorbophila,BP-2,BP-2
GCA_037951485.1_ASM3795148v1,_Candida_ nonsorbophila,Candida nonsorbophila,BP-3,BP-3
GCA_037951445.1_ASM3795144v1,_Candida_ nonsorbophila,Candida nonsorbophila,BP-4,BP-4
GCA_030578515.1_ASM3057851v1,_Candida_ nonsorbophila,Candida nonsorbophila,CBS 10862 T,CBS 10862 T
GCA_037951475.1_ASM3795147v1,_Candida_ nonsorbophila,Candida nonsorbophila,RP-1,RP-1
GCA_037951225.1_ASM3795122v1,_Candida_ nonsorbophila,Candida nonsorbophila,RP-2,RP-2
GCA_037951215.1_ASM3795121v1,_Candida_ nonsorbophila,Candida nonsorbophila,RW-1,RW-1
GCA_037951195.1_ASM3795119v1,_Candida_ nonsorbophila,Candida nonsorbophila,RW-2,RW-2
GCA_030567455.1_ASM3056745v1,_Candida_ norvegica,Candida norvegica,NRRL Y-17660T,NRRL Y-17660T
GCA_020281285.1_ASM2028128v1,_Candida_ oceani,Candida oceani,2020i151,2020i151
GCA_030569555.1_ASM3056955v1,_Candida_ oceani,Candida oceani,CBS 11857,CBS 11857
GCA_030557705.1_ASM3055770v1,_Candida_ odintsovae,Candida odintsovae,NRRL Y-17760,NRRL Y-17760
GCA_030563865.1_ASM3056386v1,_Candida_ oleophila,Candida oleophila,NRRL Y-2317,NRRL Y-2317
GCA_003708145.3_ASM370814v3,_Candida_ orba,Candida orba,NRRL Y-27336,NRRL Y-27336
GCA_030561785.1_ASM3056178v1,_Candida_ ortonii,Candida ortonii,NRRL Y-48038,NRRL Y-48038
GCA_030556425.1_ASM3055642v1,_Candida_ ovalis,Candida ovalis,NRRL Y-17662,NRRL Y-17662
GCA_025602875.1_ASM2560287v1,_Candida_ palmioleophila,Candida palmioleophila,CBS 18098,CBS 18098
GCA_030560805.1_ASM3056080v1,_Candida_ palmioleophila,Candida palmioleophila,NRRL Y-17323,NRRL Y-17323
GCA_030558275.1_ASM3055827v1,_Candida_ palmyrensis,Candida palmyrensis,CBS 11546,CBS 11546
GCA_030580475.1_ASM3058047v1,_Candida_ patagonica,Candida patagonica,CBS 10443,CBS 10443
GCA_030574875.1_ASM3057487v1,_Candida_ peoriensis,Candida peoriensis,NRRL YB-1497,NRRL YB-1497
GCA_030567815.1_ASM3056781v1,_Candida_ piceae,Candida piceae,NRRL YB-2107,NRRL YB-2107
GCA_030567935.1_ASM3056793v1,_Candida_ pini,Candida pini,NRRL Y-2023,NRRL Y-2023
GCA_030582235.1_ASM3058223v1,_Candida_ ponderosae,Candida ponderosae,NRRL YB-2307,NRRL YB-2307
GCA_030674785.1_ASM3067478v1,_Candida_ pseudoaaseri,Candida pseudoaaseri,CBS 11170,CBS 11170
GCA_030558265.1_ASM3055826v1,_Candida_ pseudocylindracea,Candida pseudocylindracea,CBS 10854T,CBS 10854T
GCA_030556505.1_ASM3055650v1,_Candida_ pseudofarinosa,Candida pseudofarinosa,NCYC 386,NCYC 386
GCA_030705115.1_ASM3070511v1,_Candida_ pseudoglaebosa,Candida pseudoglaebosa,NRRL Y-17911,NRRL Y-17911
GCA_900186205.1_CANPSY1,_Candida_ psychrophila,Candida psychrophila,,
GCA_030563005.1_ASM3056300v1,_Candida_ qinlingensis,Candida qinlingensis,CBS 9768,CBS 9768
GCA_030556525.1_ASM3055652v1,_Candida_ quercuum,Candida quercuum,NRRL Y-12942,NRRL Y-12942
GCA_935541525.1_CLIB1423v1,_Candida_ railenensis,Candida railenensis,CLIB 1423,CLIB 1423
GCA_030570995.1_ASM3057099v1,_Candida_ railenensis,Candida railenensis,NRRL Y-17762T,NRRL Y-17762T
GCA_030569615.1_ASM3056961v1,_Candida_ rishiriensis,Candida rishiriensis,NBRC 105027;AB462338,NBRC 105027
GCA_030557765.1_ASM3055776v1,_Candida_ saitoana,Candida saitoana,NRRL Y-17316,NRRL Y-17316
GCA_054123075.1_ASM5412307v1,_Candida_ sake,Candida sake,AOP5_A1_surf_bin_19,AOP5_A1_surf_bin_19
GCA_054123035.1_ASM5412303v1,_Candida_ sake,Candida sake,AOP5_B1_surf_bin_4,AOP5_B1_surf_bin_4
GCA_054123015.1_ASM5412301v1,_Candida_ sake,Candida sake,AOP5_B2_surf_bin_3,AOP5_B2_surf_bin_3
GCA_054122995.1_ASM5412299v1,_Candida_ sake,Candida sake,AOP5_CZ1_surf_bin_10,AOP5_CZ1_surf_bin_10
GCA_054122875.1_ASM5412287v1,_Candida_ sake,Candida sake,AOP5_FY1_surf_bin_8,AOP5_FY1_surf_bin_8
GCA_054122885.1_ASM5412288v1,_Candida_ sake,Candida sake,AOP5_GZ1_surf_bin_13,AOP5_GZ1_surf_bin_13
GCA_003243815.1_ASM324381v1,_Candida_ sake,Candida sake,CBA6005,CBA6005
GCA_017654755.1_ASM1765475v1,_Candida_ sake,Candida sake,H14_1_4C,H14_1_4C
GCA_030572495.1_ASM3057249v1,_Candida_ sake,Candida sake,NRRL Y-1622,NRRL Y-1622
GCA_977014415.1_UCD2293_Can,_Candida_ sake,Candida sake,UCD2293,UCD2293
GCA_030578175.1_ASM3057817v1,_Candida_ santamariae,Candida santamariae,NRRL Y-6656,NRRL Y-6656
GCA_030569275.1_ASM3056927v1,_Candida_ sanyiensis,Candida sanyiensis,CBS 10592,CBS 10592
GCA_003707405.2_ASM370740v2,_Candida_ schatavii,Candida schatavii,NRRL Y-17078,NRRL Y-17078
GCA_018344475.1_ASM1834447v1,_Candida_ silvatica,Candida silvatica,NRRL Y-7777,NRRL Y-7777
GCA_030574755.1_ASM3057475v1,_Candida_ silvicultrix,Candida silvicultrix,NRRL Y-7789,NRRL Y-7789
GCA_039762375.1_Csinolaborantium_LESF1467_1.0,_Candida_ sinolaborantium,Candida sinolaborantium,LESF1467,LESF1467
GCA_030564825.1_ASM3056482v1,_Candida_ sithepensis,Candida sithepensis,JCM 12265,JCM 12265
GCA_030566775.1_ASM3056677v1,_Candida_ smagusa,Candida smagusa,CBS 11430,CBS 11430
GCA_030462955.1_ASM3046295v1,_Candida_ solani,Candida solani,NRRL Y-2224,NRRL Y-2224
GCA_964273545.1_UCD1087_Cansol,_Candida_ solani,Candida solani,UCD1087,UCD1087
GCA_977014385.1_UCD2211_Cansol,_Candida_ solani,Candida solani,UCD2211,UCD2211
GCA_030570975.1_ASM3057097v1,_Candida_ songkhlaensis,Candida songkhlaensis,NBRC 103214;DQ404499,NBRC 103214
GCA_037951595.1_ASM3795159v1,_Candida_ sonorensis,Candida sonorensis,BW-1,BW-1
GCA_037951315.1_ASM3795131v1,_Candida_ sonorensis,Candida sonorensis,BW-2,BW-2
GCA_037951295.1_ASM3795129v1,_Candida_ sonorensis,Candida sonorensis,BW-3,BW-3
GCA_037951305.1_ASM3795130v1,_Candida_ sonorensis,Candida sonorensis,BW-4,BW-4
GCA_030567855.1_ASM3056785v1,_Candida_ sonorensis,Candida sonorensis,NRRL Y-7800,NRRL Y-7800
GCA_030564725.1_ASM3056472v1,_Candida_ sophiae-reginae,Candida sophiae-reginae,NRRL Y-17668,NRRL Y-17668
GCA_001599115.1_JCM_1536_assembly_v001,_Candida_ sorboxylosa,Candida sorboxylosa,JCM 1536,JCM 1536
GCA_030564865.1_ASM3056486v1,_Candida_ sorboxylosa,Candida sorboxylosa,NRRL Y-17669,NRRL Y-17669
GCA_030579995.1_ASM3057999v1,_Candida_ sp.,Candida sp.,NRRL Y-12764,NRRL Y-12764
GCA_030570575.1_ASM3057057v1,_Candida_ sp.,Candida sp.,NRRL Y-17713,NRRL Y-17713
GCA_030567185.1_ASM3056718v1,_Candida_ sp.,Candida sp.,NRRL Y-27103,NRRL Y-27103
GCA_030574675.1_ASM3057467v1,_Candida_ sp.,Candida sp.,NRRL Y-27127,NRRL Y-27127
GCA_030563385.1_ASM3056338v1,_Candida_ sp.,Candida sp.,NRRL Y-27166,NRRL Y-27166
GCA_030567915.1_ASM3056791v1,_Candida_ sp.,Candida sp.,NRRL Y-27170,NRRL Y-27170
GCA_030572555.1_ASM3057255v1,_Candida_ sp.,Candida sp.,NRRL Y-27267,NRRL Y-27267
GCA_030580075.1_ASM3058007v1,_Candida_ sp.,Candida sp.,NRRL Y-7574,NRRL Y-7574
GCA_030557335.1_ASM3055733v1,_Candida_ sp.,Candida sp.,NRRL Y-7615,NRRL Y-7615
GCA_030567895.1_ASM3056789v1,_Candida_ sp.,Candida sp.,NRRL YB-1238,NRRL YB-1238
GCA_030567955.1_ASM3056795v1,_Candida_ sp.,Candida sp.,NRRL YB-2442,NRRL YB-2442
GCA_030564165.1_ASM3056416v1,_Candida_ sp.,Candida sp.,NRRL YB-3031,NRRL YB-3031
GCA_030567155.1_ASM3056715v1,_Candida_ sp.,Candida sp.,NRRL YB-4088,NRRL YB-4088
GCA_030705185.1_ASM3070518v1,_Candida_ sp.,Candida sp.,UFMG-CM-Y605,UFMG-CM-Y605
GCA_030571215.1_ASM3057121v1,_Candida_ sp.,Candida sp.,yHMH407,yHMH407
GCA_030582355.1_ASM3058235v1,_Candida_ spencermartinsiae,Candida spencermartinsiae,NRRL Y-48663,NRRL Y-48663
GCA_030569075.1_ASM3056907v1,_Candida_ sphagnicola,Candida sphagnicola,CBS 11774 T,CBS 11774 T
GCA_030558335.1_ASM3055833v1,_Candida_ stauntonica,Candida stauntonica,CBS 12241,CBS 12241
GCF_019202705.1_ASM1920270v1,_Candida_ subhashii,Candida subhashii,CBS 10753,CBS 10753
GCA_001599255.1_JCM_9445_assembly_v001,_Candida_ succiphila,Candida succiphila,JCM 9445,JCM 9445
GCA_030557525.1_ASM3055752v1,_Candida_ succiphila,Candida succiphila,NRRL Y-11998,NRRL Y-11998
GCA_030568895.1_ASM3056889v1,_Candida_ suthepensis,Candida suthepensis,CBS 12270 T,CBS 12270 T
GCA_030568155.1_ASM3056815v1,_Candida_ suzukii,Candida suzukii,NRRL Y-27593,NRRL Y-27593
GCA_030564145.1_ASM3056414v1,_Candida_ takata,Candida takata,CBS 12244,CBS 12244
GCA_030569655.1_ASM3056965v1,_Candida_ tallmaniae,Candida tallmaniae,CBS 8575 T,CBS 8575 T
GCA_030566005.1_ASM3056600v1,_Candida_ tammaniensis,Candida tammaniensis,NRRL Y-8257,NRRL Y-8257
GCA_030567055.1_ASM3056705v1,_Candida_ taoyuanica,Candida taoyuanica,CBS 12242,CBS 12242
GCA_030583035.1_ASM3058303v1,_Candida_ taylorii,Candida taylorii,NRRL Y-27213,NRRL Y-27213
GCA_030570835.1_ASM3057083v1,_Candida_ tibetensis,Candida tibetensis,CBS 10298,CBS 10298
GCA_030572515.1_ASM3057251v1,_Candida_ trypodendri,Candida trypodendri,NRRL Y-6488,NRRL Y-6488
GCA_030407195.1_ASM3040719v1,_Candida_ tunisiensis,Candida tunisiensis,CBS 12513,CBS 12513
GCA_030569675.1_ASM3056967v1,_Candida_ ulmi,Candida ulmi,CBS 8670,CBS 8670
GCA_900465365.1_CvDDNA1.1,_Candida_ vartiovaarae,Candida vartiovaarae,,
GCA_003708265.3_ASM370826v3,_Candida_ vartiovaarae,Candida vartiovaarae,NRRL Y-6701,NRRL Y-6701
GCA_030569695.1_ASM3056969v1,_Candida_ vaughaniae,Candida vaughaniae,CBS 8583,CBS 8583
GCA_003708715.3_ASM370871v3,_Candida_ wancherniae,Candida wancherniae,NRRL Y-48709,NRRL Y-48709
GCA_030563365.1_ASM3056336v1,_Candida_ xylanilytica,Candida xylanilytica,NBRC 106499;AB523752,NBRC 106499
GCA_030573155.1_ASM3057315v1,_Candida_ xyloterini,Candida xyloterini,CBS 11547,CBS 11547
GCA_030569295.1_ASM3056929v1,_Candida_ yuanshanica,Candida yuanshanica,CBS 10589,CBS 10589
GCA_032774475.1_ASM3277447v1,_Candida_ zeylanoides,Candida zeylanoides,AWD,AWD
GCA_051530125.1_ASM5153012v1,_Candida_ zeylanoides,Candida zeylanoides,DSM 70185,DSM 70185
GCA_030564465.1_ASM3056446v1,_Candida_ zeylanoides,Candida zeylanoides,NRRL Y-1774,NRRL Y-1774
GCA_031851675.1_ASM3185167v1,_Candida_ zeylanoides,Candida zeylanoides,UCD849,UCD849
GCA_001008285.1_ASM100828v1,_Emmonsia_ crescens,Emmonsia crescens,UAMH 3008,UAMH 3008
GCA_002572855.1_Emmon_cres_4076_V1,_Emmonsia_ crescens,Emmonsia crescens,UAMH4076,UAMH4076
GCA_043643485.1_Neocos,_Neocosmospora_ mangrovei,Neocosmospora mangrovei,MFLUCC 17-0253,MFLUCC 17-0253
GCA_018873225.1_ASM1887322v1,_Phialemoniopsis_ sp. UDSM-2020,Phialemoniopsis sp. UDSM-2020,UDSM-2020,UDSM-2020
GCA_000825705.1_Allpaths-LG,_Torrubiella_ hemipterigena,Torrubiella hemipterigena,,
